Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Feature_3,Material_2,Material_3,Material_4,Feature_4,Feature_5,Feature_6,Material_5,Feature_7
men,Pants,2019-01-06,1,"
Nike Men's Club Fleece Pants
",,45,https://www.dickssportinggoods.com/p/nike-mens-club-fleece-pants-16nikmnswpnthflccnfb/16nikmnswpnthflccnfb,Polyester Blended,刷毛布,保暖禦寒,,,,,,,,,
men,Pants,2019-01-06,2,"
adidas Men's Tiro 17 Soccer Pants
",,,https://www.dickssportinggoods.com/p/adidas-mens-tiro-17-soccer-pants-16adimtrpntxxxxxxasba/16adimtrpntxxxxxxasba,,結構性透氣,涼爽透氣,,,,,,,,,
men,Pants,2019-01-06,3,"
Nike Men's Jersey Lightweight Joggers
",,34.99,https://www.dickssportinggoods.com/p/nike-mens-jersey-lightweight-joggers-16nikmnswjggrjrsyapb/16nikmnswjggrjrsyapb,Cotton Blended,,,,,,,,,,,
men,Pants,2019-01-06,4,adidas Men's Post Game Fleece Tapered Pants,adidas,42.99,https://www.dickssportinggoods.com/p/18adimpstgmflctprafb/18adimpstgmflctprafb,,結構性透氣,刷毛布,,,,,,,,,
men,Pants,2019-01-06,5,"
adidas Men's Tiro 19 Training Pants
",,See Price In Cart,https://www.dickssportinggoods.com/p/adidas-mens-tiro-19-training-pants-18adimtr19pntxxxxasb/18adimtr19pntxxxxasb,100% Polyester,涼爽透氣,蒸發性涼感,結構性透氣,,,,,,,,
men,Pants,2019-01-06,6,adidas Men's Post Game Fleece Jogger Pants,adidas,37.99,https://www.dickssportinggoods.com/p/adidas-mens-post-game-fleece-jogger-pants-18adimpstgmflcjggafb/18adimpstgmflcjggafb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,7,Nike Men's Sportswear Club Fleece Joggers,nike,44.99,https://www.dickssportinggoods.com/p/nike-mens-sportswear-club-fleece-joggers-16nikmnswjggrflccnfb/16nikmnswjggrflccnfb,Cotton Blended,刷毛布,保暖禦寒,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,8,Under Armour Men's Vital Warm-Up Pants,under_armour,34.99,https://www.dickssportinggoods.com/p/under-armour-mens-vital-warm-up-pants-16uarmvtlwrmppntxapb/16uarmvtlwrmppntxapb,100% Polyester,涼爽透氣,單向導溼快乾,結構性透氣,,,,,,,,
men,Pants,2019-01-06,9,Field & Stream Men's Utility Pants,field__stream,12.97,https://www.dickssportinggoods.com/p/field-stream-mens-utility-pants-17fnsmcnvstltypntapb/17fnsmcnvstltypntapb,100% Cotton,,,,,,,,,,,
men,Pants,2019-01-06,10,Outdoor Gear Men's Peak Bib,outdoor_gear,34.99,https://www.dickssportinggoods.com/p/outdoor-gear-mens-peak-bib-16ogemmpkbbxxxxxxaoa/16ogemmpkbbxxxxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,
men,Pants,2019-01-06,11,Nike Men's Therma Training Pants,nike,46.99,https://www.dickssportinggoods.com/p/nike-mens-therma-training-pants-18nikmmnkthrmpntxnfb/18nikmmnkthrmpntxnfb,100% Polyester,保暖禦寒,,,,,,,,,,
men,Pants,2019-01-06,12,Outdoor Gear Men's Crest Pants,outdoor_gear,34.99,https://www.dickssportinggoods.com/p/outdoor-gear-mens-crest-pants-16ogemmcrstpntxxxaoa/16ogemmcrstpntxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,
men,Leggings & Tights,2019-01-06,13,Nike Men's Pro Tights,nike,31.99,https://www.dickssportinggoods.com/p/nike-mens-pro-tights-17nikmnptghtxxxxxapb/17nikmnptghtxxxxxapb,Polyester Blended,舒適伸展,單向導溼快乾,舒適平滑縫合,Spandex <= 10%,all/any Spandex,四面彈,,提升運動效能設計,,,
men,Pants,2019-01-06,14,Reebok Men's Heather Cotton Fleece Jogger Pants,reebok,9.97,https://www.dickssportinggoods.com/p/reebok-mens-heather-cotton-fleece-jogger-pants-18rbkmhtrcttnflcjapb/18rbkmhtrcttnflcjapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,15,Reebok Men's Cotton Fleece Jogger Pants,reebok,11.97,https://www.dickssportinggoods.com/p/reebok-mens-cotton-fleece-jogger-pants-18rbkmcttnflcjggrapb/18rbkmcttnflcjggrapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,16,Under Armour Men's Sportstyle Printed Joggers,under_armour,34.93,https://www.dickssportinggoods.com/p/under-armour-mens-sportstyle-printed-joggers-16uarmsprtstyljggapba/16uarmsprtstyljggapba,,保暖禦寒,單向導溼快乾,,,,,,,,,
men,Pants,2019-01-06,17,adidas Men's Ultimate365 Golf Pants,adidas,59.99,https://www.dickssportinggoods.com/p/adidas-mens-ultimate365-golf-pants-16adimltmtpntblckapb/16adimltmtpntblckapb,Spandex 11~20%,涼爽透氣,單向導溼快乾,,all/any Spandex,Polyester Blended,,,,,,
men,Pants,2019-01-06,18,Under Armour Men's Armour Fleece Pants,under_armour,46.99,https://www.dickssportinggoods.com/p/under-armour-mens-armour-fleece-pants-18uarmfpntxxxxxxxapb/18uarmfpntxxxxxxxapb,100% Polyester,保暖禦寒,涼爽透氣,刷毛布,,,,,,,,
men,Pants,2019-01-06,19,Nike Men's Therma Tapered Pants,nike,38.92,https://www.dickssportinggoods.com/p/nike-mens-therma-tapered-pants-18nikmmnkthrmpnttnfb/18nikmmnkthrmpnttnfb,100% Polyester,保暖禦寒,,,,,,,,,,
men,Pants,2019-01-06,20,adidas Men's Team Issue Fleece Pants,adidas,34.98,https://www.dickssportinggoods.com/p/adidas-mens-team-issue-fleece-pants-18adimtmssflctprdafb/18adimtmssflctprdafb,100% Polyester,化纖素材,刷毛布,保暖禦寒,,,單向導溼快乾,,,,,
men,Pants,2019-01-06,21,Nike Men's Flat Front Golf Pants,nike,59.99,https://www.dickssportinggoods.com/p/nike-mens-flat-front-golf-pants-16nikmnkfltfrntpnapb/16nikmnkfltfrntpnapb,all/any Spandex,單向導溼快乾,,,Polyester Blended,Spandex <= 10%,,,,,,
men,Leggings & Tights,2019-01-06,22,"
Nike Men's Pro 3/4 Length Tights
",,25.97,https://www.dickssportinggoods.com/p/nike-mens-pro-3-4-length-tights-17nikmnp3qttghtxxapb/17nikmnp3qttghtxxapb,all/any Spandex,四面彈,提升運動效能設計,舒適伸展,Polyester Blended,Spandex <= 10%,舒適平滑縫合,,單向導溼快乾,,,
men,Pants,2019-01-06,23,Nike Men's Dry Tapered Fleece Pants,nike,26.97,https://www.dickssportinggoods.com/p/nike-mens-dry-tapered-fleece-pants-17nikmmnkdrypnttpnfba/17nikmmnkdrypnttpnfba,100% Polyester,刷毛布,舒適伸展,,,,,,,,,
men,Pants,2019-01-06,24,Nike Men's Sportswear Optic Jogger Pants,nike,52.50,https://www.dickssportinggoods.com/p/nike-mens-sportswear-optic-jogger-pants-18nikmmnswjggrptcnfb/18nikmmnswjggrptcnfb,Polyester Blended,,,,Cotton Blended,,,,,,,
men,Pants,2019-01-06,25,Walter Hagen Men's Core Golf Pants,walter_hagen,80,https://www.dickssportinggoods.com/p/walter-hagen-mens-core-golf-pants-18whgmhgnpntxxxxxapb/18whgmhgnpntxxxxxapb,100% Polyester,涼爽透氣,抗紫外線,單向導溼快乾,,,,,,,,
men,Pants,2019-01-06,26,Under Armour Men's Rival Fleece Pants,under_armour,33.75,https://www.dickssportinggoods.com/p/under-armour-mens-rival-fleece-pants-18uarmrvlflcpntxxapb/18uarmrvlflcpntxxapb,Cotton Blended,單向導溼快乾,刷毛布,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,27,Nike Men's Dry Regular Fleece Pants,nike,46.99,https://www.dickssportinggoods.com/p/nike-mens-dry-regular-fleece-pants-17nikmmnkdrypntrgnfb/17nikmmnkdrypntrgnfb,100% Polyester,舒適伸展,刷毛布,,,,,,,,,
men,Pants,2019-01-06,28,"
Nike Men's Basketball Pants
",,24.97,https://www.dickssportinggoods.com/p/nike-mens-basketball-pants-17nikmmnkdrypntrvapb/17nikmmnkdrypntrvapb,100% Polyester,,,,,,,,,,,
men,"Compression wear,Leggings & Tights",2019-01-06,29,Under Armour Men's ColdGear Compression Leggings,under_armour,50,https://www.dickssportinggoods.com/p/under-armour-mens-coldgear-compression-leggings-18uarmcglggngxxxxapb/18uarmcglggngxxxxapb,Spandex 11~20%,提升運動效能設計,刷毛布,,Polyester Blended,all/any Spandex,,,,,,
men,Leggings & Tights,2019-01-06,30,McDavid Adult TEFLX 3/4 Length Tights,mcdavid,25.97,https://www.dickssportinggoods.com/p/mcdavid-adult-teflx-3-4-length-tights-17mcvatflx34tghtxbka/17mcvatflx34tghtxbka,Spandex 11~20%,,,,all/any Spandex,Polyamide(Nylon) Blended,,,,,,
men,Pants,2019-01-06,31,Under Armour Men's Rival Fleece Jogger Pants,under_armour,42.99,https://www.dickssportinggoods.com/p/under-armour-mens-rival-fleece-jogger-pants-18uarmrvlflcjggrxapb/18uarmrvlflcjggrxapb,Cotton Blended,保暖禦寒,單向導溼快乾,刷毛布,Polyester Blended,,,,,,,
men,Pants,2019-01-06,32,adidas Men's Essentials 3-Stripes Jogger,adidas,14.97,https://www.dickssportinggoods.com/p/adidas-mens-essentials-3-stripes-jogger-17adimssntlstrckjatb/17adimssntlstrckjatb,100% Polyester,保暖禦寒,,,,,,,,,,
men,Pants,2019-01-06,33,Reebok Men's Mesh Knit Pants,reebok,25,https://www.dickssportinggoods.com/p/reebok-mens-mesh-knit-pants-16rbkmmshtrnngpntapbx/16rbkmmshtrnngpntapbx,100% Polyester,結構性透氣,蒸發性涼感,單向導溼快乾,,,,,,,,
men,Pants,2019-01-06,34,Carhartt Men's Washed Twill Dungarees,carhartt,39.99,https://www.dickssportinggoods.com/p/carhartt-mens-washed-twill-dungarees-15cttawshdtwlldngapb/15cttawshdtwlldngapb,Cotton Blended,,,,100% Cotton,,,,,,,
men,Pants,2019-01-06,35,adidas Men's Tiro 17 Sweat Pants,adidas,25.97,https://www.dickssportinggoods.com/p/adidas-mens-tiro-17-sweat-pants-17adimtr17pntfrncasb/17adimtr17pntfrncasb,,蒸發性涼感,單向導溼快乾,,,,,,,,,
men,Pants,2019-01-06,36,Reebok Men's Cotton Fleece Straight Leg Pants,reebok,11.97,https://www.dickssportinggoods.com/p/reebok-mens-cotton-fleece-straight-leg-pants-18rbkmcttnflcstrgapb/18rbkmcttnflcstrgapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,37,Reebok Men's Heather Cotton Fleece Straight Leg Pants,reebok,11.97,https://www.dickssportinggoods.com/p/reebok-mens-heather-cotton-fleece-straight-leg-pants-18rbkmhtrcttnflcsapb/18rbkmhtrcttnflcsapb,Cotton Blended,刷毛布,,,Polyester Blended,,,,,,,
men,Pants,2019-01-06,38,Champion Men's Big C Fleece Joggers,champion,17.97,https://www.dickssportinggoods.com/p/champion-mens-big-c-fleece-joggers-18chamflcsttchdbgapb/18chamflcsttchdbgapb,100% Cotton,環保訴求,刷毛布,,Polyester Blended,,,,,,,
