Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Material_2,Feature_3,Feature_4,Feature_5,Material_3,Material_4,Material_5,Material_6,Feature_6,Feature_7,Feature_8,Material_7,Material_8,Feature_9
women,Leggings & Tights,2019-01-06,3,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-01-06,4,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-06,6,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-01-06,7,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Pants,2019-01-06,11,Under Armour Women's HeatGear Armour Printed Capris,under_armour,19.97,https://www.dickssportinggoods.com/p/under-armour-womens-heatgear-armour-printed-capris-17uarwhgprntrmrcpapb/17uarwhgprntrmrcpapb,Spandex 11~20%,舒適平滑縫合,提升運動效能設計,Polyester Blended,人體工學舒適設計,四面彈,單向導溼快乾,all/any Spandex,,,,超輕量,輕量,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-01-06,13,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-01-13,3,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-13,4,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-01-13,7,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-01-13,11,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-13,12,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-01-20,3,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-20,4,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-20,7,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-01-20,9,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-01-20,12,Under Armour Women's Anklette Leggings,under_armour,27.97,https://www.dickssportinggoods.com/p/under-armour-womens-anklette-leggings-18uarwhgfshnnklcrapb/18uarwhgfshnnklcrapb,Spandex 11~20%,,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-01-20,13,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-27,3,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-01-27,5,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-01-27,6,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-01-27,9,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-01-27,10,Under Armour Women's Anklette Leggings,under_armour,27.97,https://www.dickssportinggoods.com/p/under-armour-womens-anklette-leggings-18uarwhgfshnnklcrapb/18uarwhgfshnnklcrapb,Spandex 11~20%,,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-03,3,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-02-03,5,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-03,6,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-03,9,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-02-03,10,Under Armour Women's Anklette Leggings,under_armour,27.97,https://www.dickssportinggoods.com/p/under-armour-womens-anklette-leggings-18uarwhgfshnnklcrapb/18uarwhgfshnnklcrapb,Spandex 11~20%,,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-10,2,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-10,7,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-10,8,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-02-10,11,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-17,2,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-02-17,8,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-17,9,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-17,10,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-02-17,11,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-17,12,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-02-24,1,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-02-24,7,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-24,9,Reebok Women's Cold Weather Compression Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-tights-18rbkwcwctghtxxxxapb/18rbkwcwctghtxxxxapb,all/any Spandex,提升運動效能設計,保暖禦寒,Cotton Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-02-24,10,Nike Women's Pro Cool Tights,nike,48,https://www.dickssportinggoods.com/p/nike-womens-pro-cool-tights-17nikwprcltghtxxxapb/17nikwprcltghtxxxapb,Spandex 11~20%,單向導溼快乾,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-02-24,12,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-02-24,13,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-03-03,3,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-03-03,5,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-03-03,10,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-03-10,4,Nike Women's Pro Warm Training Tights,nike,37.99,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmtghtxxapb/18nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights,Tops",2019-03-10,6,Reebok Women's Cold Weather Compression Wrap Around Spacedye Tights,reebok,19.97,https://www.dickssportinggoods.com/p/reebok-womens-cold-weather-compression-wrap-around-spacedye-tights-18rbkwcwcwrprndtgapb/18rbkwcwcwrprndtgapb,Spandex 11~20%,提升運動效能設計,保暖禦寒,all/any Spandex,單向導溼快乾,,,Polyester Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-03-10,9,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-03-10,10,Nike Women's Pro Warm Training Tights,nike,36.97,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-training-tights-18nikwprwrmdlxtghapb/18nikwprwrmdlxtghapb,Spandex 11~20%,保暖禦寒,,all/any Spandex,,,,Polyester Blended,,,,,,,,,
