,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Material_4,Material_5,Feature_9,Feature_10,Feature_11
0,men,2019-01-06,1,TSLA Men's Compression Pants Baselayer Cool Dry Sports Tights Leggings MUP19,tesla,12.48,https://www.amazon.com/TSLA-Compression-Baselayer-Sports-Leggings/dp/B07MR45P9Z,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,涼爽透氣,抗紫外線,單向導溼快乾,舒適伸展,,,,,,,,
1,men,2019-01-06,2,DRSKIN Men’s 1~3 Pack Compression Dry Cool Sports Tights Pants Baselayer Running Leggings Yoga,drskin,18.99,https://www.amazon.com/dp/B07MLQYM5T,all/any Spandex,Polyester Blended,Spandex <= 10%,提升運動效能設計,抗紫外線,單向導溼快乾,,,,,,,,,,
2,men,2019-01-06,3,TSLA Men's Compression 3/4 Capri Shorts Baselayer Cool Dry Sports Tights MUC18/MUC08/P15,tesla,11.98,https://www.amazon.com/TSLA-Compression-Shorts-Baselayer-Sports/dp/B07MKMXPTR,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,涼爽透氣,異味控制,單向導溼快乾,抗菌功能,,,,,,,,
3,men,2019-01-06,4,Under Armour Men's HeatGear Armour Compression Leggings,underarmour,59.55,https://www.amazon.com/Under-Armour-HeatGear-Compression-Leggings/dp/B07DRSZDDS,Spandex >= 21%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,結構性透氣,人體工學舒適設計,四面彈,單向導溼快乾,,,,,,,
4,men,2019-01-06,5,Neleus Men's 2 Pack Compression Tights Sport Running Leggings Pants,neleus,17.41,https://www.amazon.com/Neleus-Compression-Tights-Running-Leggings/dp/B07DGR2B68,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,單向導溼快乾,異味控制,舒適平滑縫合,提升運動效能設計,抗菌功能,,,,,,,
5,men,2019-01-06,6,Defender Compression Pants Men Under Jerseys Legging Shorts Tights,defender,11.99,https://www.amazon.com/Defender-Compression-Jerseys-Legging-Shorts/dp/B07FY2BXC9,all/any Spandex,Polyester Blended,,提升運動效能設計,抗紫外線,單向導溼快乾,,,,,,,,,,
6,men,2019-01-06,7,Under Armour Men's ColdGear Leggings,underarmour,84.45,https://www.amazon.com/Under-Armour-Mens-ColdGear-Leggings/dp/B078B228G5,all/any Spandex,Spandex 11~20%,Polyester Blended,四面彈,刷毛布,單向導溼快乾,保暖禦寒,結構性透氣,異味控制,,,,,,,
7,men,2019-01-06,8,Lavento Men's Compression Pants Baselayer Cool Dry Running Ankle Leggings Active Tights,lavento,18.49,https://www.amazon.com/Lavento-Compression-Baselayer-Running-Leggings/dp/B07CJ3194K,all/any Spandex,Spandex 11~20%,Polyester Blended,異味控制,四面彈,單向導溼快乾,提升運動效能設計,,,,,,,,,
8,men,2019-01-06,9,Xtextile Mens Camouflage Sports Compression Tight Leggings,xtextile,10.79,https://www.amazon.com/Xtextile-Camouflage-Sports-Compression-Leggings/dp/B07CKSMGRK,,,,一體成型,提升運動效能設計,,,,,,,,,,,
9,men,2019-01-06,10,TELALEO Men's Long Compression Shorts Cool Dry Sports Tights,telaleo,16.86,https://www.amazon.com/TELALEO-Compression-Shorts-Sports-Tights/dp/B07DHL91TQ,all/any Spandex,Spandex 11~20%,Polyester Blended,人體工學舒適設計,四面彈,單向導溼快乾,提升運動效能設計,,,,,,,,,
10,men,2019-01-06,11,Defender Thermal Compression Pants Men Under Jerseys Legging Shorts Tights,defender,19.99,https://www.amazon.com/Defender-Thermal-Compression-Jerseys-Legging/dp/B07F8SKT2N,all/any Spandex,Polyester Blended,,蒸發性涼感,提升運動效能設計,抗紫外線,單向導溼快乾,,,,,,,,,
11,men,2019-01-06,12,Yuerlian Men's Compression Pants Cool Dry Baselayer Tights Leggings,yuerlian,20.34,https://www.amazon.com/Yuerlian-Compression-Baselayer-Tights-Leggings/dp/B072V6K9W3,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,結構性透氣,四面彈,單向導溼快乾,舒適伸展,,,,,,,
12,men,2019-01-06,13,Yuerlian Men's Compression Pants Baselayer Cool Dry Sports Tights Leggings Running Tights,yuerlian,21.79,https://www.amazon.com/Yuerlian-Compression-Baselayer-Leggings-Running/dp/B0779C76MC,all/any Spandex,Polyester Blended,,蒸發性涼感,提升運動效能設計,單向導溼快乾,四面彈,,,,,,,,,
13,men,2019-01-06,14,ARSUXEO Men's 3/4 Running Compression Tights Capri Pants K75,arsuxeo,12.99,https://www.amazon.com/ARSUXEO-Running-Compression-Tights-Capri/dp/B073347WK8,all/any Spandex,Spandex 11~20%,Polyester Blended,蒸發性涼感,四面彈,單向導溼快乾,涼爽透氣,提升運動效能設計,,,,,,,,
14,men,2019-01-06,15,Under Armour Mens ColdGear Reactor Legging,underarmour,116.61,https://www.amazon.com/Under-Armour-ColdGear-Reactor-Legging/dp/B01N7HHS5L,Spandex 11~20%,all/any Spandex,Polyester Blended,涼爽透氣,異味控制,四面彈,保暖禦寒,單向導溼快乾,刷毛布,,,,,,,
15,men,2019-01-06,16,Nike Metcon 3 Mens Training Shoes,nike,23.53,https://www.amazon.com/Nike-Metcon-Mens-Training-Shoes/dp/B073T4NSX4,,,,肌肉支持,,,,,,,,,,,,
16,men,2019-01-06,17,Defender New Men's Compression Baselayer Capri,defender,11.49,https://www.amazon.com/Defender-Mens-Compression-Baselayer-Capri/dp/B07FBTS4MH,all/any Spandex,Polyester Blended,,抗紫外線,單向導溼快乾,提升運動效能設計,,,,,,,,,,
17,men,2019-01-06,18,Under Armour Men's ColdGear Armour Compression Leggings,underarmour,43.74,https://www.amazon.com/Under-Armour-ColdGear-Compression-Leggings/dp/B00U8TG6H4,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,結構性透氣,四面彈,保暖禦寒,單向導溼快乾,舒適平滑縫合,刷毛布,舒適伸展,,,,,
18,men,2019-01-06,19,Yuerlian Men's Compression 3/4 Capri Shorts Baselayer Cool Dry Sports Tights,yuerlian,18.04,https://www.amazon.com/Yuerlian-Compression-Shorts-Baselayer-Sports/dp/B071CG1ZHR,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,提升運動效能設計,四面彈,單向導溼快乾,舒適伸展,,,,,,,,
19,men,2019-01-06,20,ASICS Men's Essentials Tight Bottom,asics,62.55,https://www.amazon.com/ASICS-Mens-Essentials-Tight-Bottom/dp/B00NVQH32I,all/any Spandex,Spandex <= 10%,Polyester Blended,溼度管理,,,,,,,,,,,,
20,men,2019-01-06,21,Minaso Men's Soft Mesh Cool Dry Compression Yoga Workout Tight Shorts,minaso,15.99,https://www.amazon.com/Minaso-Compression-Workout-Tight-Shorts/dp/B07HR8NVFQ,all/any Spandex,Polyamide(Nylon) Blended,,蒸發性涼感,提升運動效能設計,涼爽透氣,結構性透氣,單向導溼快乾,,,,,,,,
21,men,2019-01-06,22,Mizuno Elite 9 SL2 Kneepad,mizuno,26.99,https://www.amazon.com/Mizuno-Elite-9-SL2-Kneepad/dp/B018M4A1MM,all/any Spandex,Polyamide(Nylon) Blended,Rayon Blended,結構性透氣,單向導溼快乾,人體工學舒適設計,,,,,,Polyester Blended,,,,
22,men,2019-01-06,23,Siboya Men's Compression 3/4 Capri Shorts 2 Pack Baselayer Cool Dry Tights Running Pants,siboya,18.99,https://www.amazon.com/Siboya-Compression-Shorts-Baselayer-Running/dp/B07HFXWZPT,all/any Spandex,Polyester Blended,,人體工學舒適設計,單向導溼快乾,提升運動效能設計,,,,,,,,,,
23,men,2019-01-06,24,Roadbox Mens Compression Pants Workout Dry Cool Sports Leggings Tights Baselayer for Running,roadbox,13.99,https://www.amazon.com/Roadbox-Compression-Workout-Leggings-Baselayer/dp/B07L316M7P,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,蒸發性涼感,涼爽透氣,人體工學舒適設計,抗紫外線,單向導溼快乾,抗菌功能,,,,,,
24,men,2019-01-06,25,Under Armour Men's ColdGear Reactor Run Sp Tights V2,underarmour,90,https://www.amazon.com/Under-Armour-ColdGear-Reactor-Tights/dp/B0785FQSGK,Spandex 11~20%,Polyester Blended,all/any Spandex,單向導溼快乾,刷毛布,,,,,,,,,,,
25,men,2019-01-06,26,Under Armour Men's HeatGear Armour Printed Compression Leggings,underarmour,73,https://www.amazon.com/Under-Armour-HeatGear-Compression-Leggings/dp/B00U8TG4TE,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,抗紫外線,四面彈,單向導溼快乾,,,,,,,,
26,men,2019-01-06,27,CW-X Women's Muscle Support Endurance Pro Full Length Compression Tight,cwx,88.5,https://www.amazon.com/CW-X-Womens-Support-Endurance-Compression/dp/B07FKKLRL2,Spandex 11~20%,all/any Spandex,,蒸發性涼感,提升運動效能設計,,,,,,,,,,,
27,men,2019-01-06,28,Champion Men's Powerflex 3/4 Tight,champion,20.52,https://www.amazon.com/Champion-P0292-Mens-Powerflex-Tight/dp/B01AK7K6VK,all/any Spandex,Spandex 11~20%,Polyester Blended,結構性透氣,蒸發性涼感,單向導溼快乾,舒適伸展,,,,,,,,,
28,men,2019-01-06,29,Under Armour Men's ColdGear Infrared Fitted Leggings,underarmour,74.08,https://www.amazon.com/Under-Armour-ColdGear-Infrared-Leggings/dp/B01B3HHB5U,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,涼爽透氣,結構性透氣,反射保溫機制,單向導溼快乾,刷毛布,,,,,,,
29,men,2019-01-06,30,TSLA Men's Mesh-Panel Compression Pants Baselayer Cool Dry Sports Tights Leggings MUP79,tesla,17.48,https://www.amazon.com/TSLA-Mesh-Panel-Compression-Baselayer-Leggings/dp/B07MNYH4KP,,,,提升運動效能設計,涼爽透氣,結構性透氣,抗紫外線,單向導溼快乾,,,,,,,,
30,men,2019-01-06,31,CW-X Men's Stabilyx High Performance Compression Sports Tights,cwx,90.81,https://www.amazon.com/CW-X-Stabilyx-Performance-Compression-Sports/dp/B004QM98LK,Spandex >= 21%,all/any Spandex,,蒸發性涼感,提升運動效能設計,四面彈,,,,,,,,,,
31,men,2019-01-06,32,NIKE Men's Training Utility 3/4 Tights,nike,44.97,https://www.amazon.com/NIKE-Mens-Training-Utility-Tights/dp/B07FSSN4X6,,,,一體成型,單向導溼快乾,涼爽透氣,舒適平滑縫合,提升運動效能設計,,,,,,,,
32,men,2019-01-06,33,NATURET Compression Pants Baselayer Running Tights Mens Sports Cool Dry Leggings,naturetreasures,12.88,https://www.amazon.com/NATURET-Compression-Baselayer-Running-Leggings/dp/B074YXSYZG,all/any Spandex,Spandex 11~20%,Polyester Blended,提升運動效能設計,,,,,,,,,,,,
33,men,2019-01-06,34,Under Armour Men's HeatGear Armour Compression Leggings,underarmour,52.8,https://www.amazon.com/Under-Armour-HeatGear-Compression-Leggings/dp/B00U8TG354,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,異味控制,抗紫外線,四面彈,單向導溼快乾,,,,,,,,
34,men,2019-01-06,35,EU Men's Compression 3/4 Tights Base Layer Running Sports Capri Pants,eu,13.43,https://www.amazon.com/EU-Compression-Tights-Running-Sports/dp/B01LZDVFX0,Polyester Blended,Spandex 11~20%,all/any Spandex,涼爽透氣,四面彈,提升運動效能設計,,,,,,,,,,
