,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Material_4,Feature_5,Feature_6,Material_5,Feature_7,Material_6,Feature_8,Feature_9
0,women,2019-01-06,1,90 Degree By Reflex - Performance Activewear - Printed Yoga Leggings,90degreebyreflex,16.99,https://www.amazon.com/90-Degree-Reflex-Performance-Activewear/dp/B07C1V72NS,Polyester Blended,all/any Spandex,Spandex 11~20%,四面彈,反光功能,Athleisure,單向導溼快乾,,,,,,,,
1,women,2019-01-06,2,90 Degree By Reflex - High Waist Power Flex Legging – Tummy Control,90degreebyreflex,34.99,https://www.amazon.com/90-Degree-Reflex-Legging-Control/dp/B07C2PFHRX,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,四面彈,單向導溼快乾,Athleisure,Polyester Blended,舒適伸展,,,,,,
2,women,2019-01-06,3,"IUGA High Waist Yoga Pants with Pockets, Tummy Control, Workout Pants for Women 4 Way Stretch Yoga Leggings with Pockets",iuga,18.3,https://www.amazon.com/IUGA-Pockets-Control-Workout-Leggings/dp/B079BH5QPP,,,,單向導溼快乾,提升運動效能設計,涼爽透氣,四面彈,,Athleisure,舒適伸展,,,,,
3,women,2019-01-06,4,Homma Premium Thick High Waist Tummy Compression Slimming Leggings,homma,19.5,https://www.amazon.com/Homma-Premium-Compression-Slimming-Leggings/dp/B0716Z6D2W,Polyamide(Nylon) Blended,Spandex 11~20%,all/any Spandex,單向導溼快乾,蒸發性涼感,提升運動效能設計,涼爽透氣,,四面彈,一體成型,,,,,
4,women,2019-01-06,5,TSLA Yoga Pants High-Waist Tummy Control w Hidden Pocket FYP52 / FYP54 / FYP56 / FYP42,tesla,14.98,https://www.amazon.com/TSLA-High-Waist-Control-Hidden-Pocket/dp/B07MNVR3QK,all/any Spandex,Polyester Blended,,涼爽透氣,單向導溼快乾,,,,,,,,,,
5,women,2019-01-06,6,90 Degree By Reflex Womens Power Flex Yoga Pants,90degreebyreflex,22.49,https://www.amazon.com/90-Degree-Reflex-Womens-Power/dp/B076FKSJH1,Polyester Blended,Polyamide(Nylon) Blended,Spandex 11~20%,,,,,all/any Spandex,,,,,,,
6,women,2019-01-06,7,Neleus High Waist Running Workout Leggings for Yoga with Pockets 1 2 Pack,neleus,22.12,https://www.amazon.com/Neleus-Running-Workout-Leggings-Pockets/dp/B0775ZKT7N,Polyester Blended,Spandex 11~20%,all/any Spandex,四面彈,舒適平滑縫合,,,,,,,,,,
7,women,2019-01-06,8,90 Degree By Reflex – High Waist Tummy Control Shapewear – Power Flex Capri,90degreebyreflex,35.99,https://www.amazon.com/90-Degree-Reflex-Control-Shapewear/dp/B00Q41NPEW,all/any Spandex,Spandex 11~20%,Polyamide(Nylon) Blended,四面彈,單向導溼快乾,提升運動效能設計,Athleisure,Polyester Blended,舒適伸展,,,,,,
8,women,2019-01-06,9,Baleaf Women's High Waist Yoga Pants Inner Pocket Non See-Through Fabric,baleaf,21.49,https://www.amazon.com/Baleaf-Womens-Pocket-See-Through-Fabric/dp/B078XS1SWD,Spandex 11~20%,Polyamide(Nylon) Blended,all/any Spandex,舒適伸展,舒適平滑縫合,涼爽透氣,單向導溼快乾,Cotton Blended,,,Polyester Blended,,,,
9,women,2019-01-06,10,TSLA Yoga Pants Mid & High-Waist Tummy Control w Hidden Pocket FYC32/FYC33/FYC34/FYC36/FYP32,tesla,12.48,https://www.amazon.com/TSLA-High-Waist-Control-Hidden-Pocket/dp/B07M9WW6GL,Spandex 11~20%,all/any Spandex,Polyester Blended,異味控制,涼爽透氣,單向導溼快乾,抗菌功能,,舒適伸展,,,,,,
