Product,Brand,Gender,Features,Materials,Price,Listed_Date,Url
"Align Super High-Rise Crop 21"" *Online Only",lululemon,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
結構設計,舒適伸展,四面彈
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
","Chemical fiber,Polyester,Polyester Blended
Chemical fiber,Polyamide(Nylon),Polyamide(Nylon) Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",88,2019-12-29,https://shop.lululemon.com/p/women-crops/Align-Crop-Super-HR-21/_/prod9610030
Nike One Women's Tights (Plus Size),NIKE,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
環保訴求
","Spandex,Spandex 11~20%
Chemical fiber,Polyester,Polyester Blended
Eco-friendly Fiber,Recycled Polyester / PET
Spandex,all/any Spandex
Chemical fiber,Polyester,Recycled Polyester & Blended
",60,2019-12-29,https://www.nike.com/t/one-womens-tights-plus-size-cMsrgB/CT0169-691
Nike Sportswear Women's Printed High-Waisted Leggings,NIKE,women,,"Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",50,2019-12-29,https://www.nike.com/t/sportswear-womens-printed-high-waisted-leggings-0ZTwTc/CJ3727-487
Nike Sportswear Leg-A-See Women's Leggings,NIKE,women,,"Chemical fiber,Polyester,Polyester Blended
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
Spandex,Spandex <= 10%
",45,2019-12-29,https://www.nike.com/t/sportswear-leg-a-see-womens-leggings-F32Cll/CJ2659-010
Nike One Luxe Women's Tights (Plus Size),NIKE,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
結構設計,一體成型
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",90,2019-12-29,https://www.nike.com/t/one-luxe-womens-tights-plus-size-t349dc/CU2916-010
Nike Sportswear Club Women’s Leggings,NIKE,women,,"Chemical fiber,Polyester,Polyester Blended
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
Spandex,Spandex <= 10%
",35,2019-12-29,https://www.nike.com/t/sportswear-club-womens-leggings-C1qP1W/CJ1994-063
Nike One Women's 7/8 Tights,NIKE,women,"微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
環保訴求
","Spandex,Spandex 11~20%
Chemical fiber,Polyester,Polyester Blended
Eco-friendly Fiber,Recycled Polyester / PET
Spandex,all/any Spandex
Chemical fiber,Polyester,Recycled Polyester & Blended
",60,2019-12-29,https://www.nike.com/t/one-womens-7-8-tights-r2Fmcz/CJ2450-693
Nike Epic Lux Women's Running Tights,NIKE,women,"機能添加,反光功能
微氣候的舒適調節,涼爽透氣
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",120,2019-12-29,https://www.nike.com/t/epic-lux-womens-running-tights-7cxz91/CJ1913-068
Nike One Luxe Women's Heathered Tights,NIKE,women,"微氣候的舒適調節,涼爽透氣,蒸發性涼感
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
結構設計,一體成型
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",90,2019-12-29,https://www.nike.com/t/one-luxe-womens-heathered-tights-HSmf29/CD5915-432
Nike Power Icon Clash Women's 7/8 Training Tights,NIKE,women,"環保訴求
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Eco-friendly Fiber,Recycled Polyester / PET
Spandex,all/any Spandex
Chemical fiber,Polyester,100% Polyester
Chemical fiber,Polyester,Recycled Polyester & Blended
",85,2019-12-29,https://www.nike.com/t/power-icon-clash-womens-7-8-training-tights-dzX7BR/CJ3390-010
Women's UA Fly Fast Printed Capri,UNDER ARMOUR,women,"機能添加,反光功能
機能添加,異味控制
微氣候的舒適調節,溫溼調節,溼度管理,單向導溼快乾
微氣候的舒適調節,涼爽透氣
微氣候的舒適調節,涼爽透氣,結構性透氣
","Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex >= 21%
Spandex,all/any Spandex
",55,2019-12-29,https://www.underarmour.com/en-us/w-ua-fly-fast-printed-capri/pid1350983
Essentials 3-Stripes Tights,adidas,women,,"Spandex,Spandex <= 10%
Nature,Cotton,Cotton Blended
Spandex,all/any Spandex
",35,2020-01-05,https://www.adidas.com/us/essentials-3-stripes-tights/FM6699.html
UV Leggings,adidas,women,"環保訴求
","Eco-friendly Fiber,Recycled Polyester / PET
Chemical fiber,Polyester,Recycled Polyester & Blended
Chemical fiber,Polyester,Polyester Blended
Spandex,Spandex 11~20%
Spandex,all/any Spandex
",70,2020-01-05,https://www.adidas.com/us/uv-leggings/FJ4889.html
